date,time,cpa,width,lin_speed,quad_speed_init,quad_speed_final,quad_speed_20,accel,mpa,remarks
1996/01/11,00:14:36,267.0,18,499.0,571.0,426.0,0.0,-64.3,272,Only C3
1996/01/13,22:08:30,265.0,16,290.0,278.0,303.0,372.0,2.8,266,Only C3
1996/01/15,07:01:10,262.0,43,525.0,600.0,454.0,0.0,-31.1,272,Only C3
1996/01/22,03:11:01,105.0,37,267.0,401.0,130.0,0.0,-126.3,103,Very Poor Event; Only C3
1996/01/26,09:16:19,90.0,27,262.0,254.0,271.0,322.0,1.9,90,Poor Event; Only C3
1996/01/31,06:52:13,274.0,47,158.0,219.0,99.0,0.0,-12.3,272,Poor Event; Only 3 points
1996/02/03,00:07:03,83.0,52,306.0,294.0,317.0,309.0,0.9,80,Poor Event; Only C3
1996/02/08,05:17:49,263.0,70,184.0,247.0,126.0,0.0,-6.0,249,Poor Event; Only C3
1996/02/12,05:47:26,91.0,53,160.0,100.0,211.0,236.0,2.0,92,Poor Event
1996/02/17,02:06:31,279.0,73,317.0,257.0,378.0,532.0,9.9,274,Very Poor Event
1996/02/17,05:18:59,86.0,36,171.0,64.0,279.0,819.0,27.9,88,Very Poor Event; Only 3 points; Only C2
1996/02/19,05:15:48,98.0,30,266.0,129.0,403.0,946.0,36.7,94,Very Poor Event; Only 3 points; Only C2
1996/03/02,04:11:53,88.0,36,108.0,95.0,120.0,177.0,1.0,86,Poor Event
1996/03/03,04:12:30,99.0,26,186.0,141.0,232.0,215.0,2.3,99,Poor Event; Only C3
1996/03/06,05:38:36,268.0,55,175.0,,,,,261,Very Poor Event; Only 2 points; Only C3
1996/03/07,01:00:19,57.0,39,200.0,235.0,169.0,135.0,-2.3,53,Poor Event; Only 3 points; Only C3
1996/03/07,07:51:56,91.0,43,60.0,60.0,61.0,75.0,0.1,87,Poor Event
1996/03/08,07:12:03,90.0,19,170.0,108.0,229.0,189.0,2.8,85,Poor Event; Only C3
1996/03/09,04:27:49,84.0,39,93.0,102.0,82.0,0.0,-1.1,82,Only 3 points
1996/03/11,18:22:39,86.0,52,244.0,124.0,352.0,656.0,20.1,77,Only 3 points
1996/03/13,02:42:06,105.0,17,130.0,68.0,195.0,312.0,4.0,106,
1996/03/14,09:38:00,101.0,22,74.0,55.0,94.0,177.0,1.2,99,
1996/03/14,11:44:18,285.0,59,418.0,526.0,307.0,302.0,-8.9,292,
1996/03/15,13:54:27,101.0,26,222.0,200.0,244.0,386.0,4.7,101,Only 3 points
1996/03/15,23:57:34,76.0,29,71.0,46.0,98.0,198.0,1.9,78,Very Poor Event; Only C3
1996/03/16,02:03:38,262.0,27,65.0,26.0,107.0,292.0,3.8,267,Very Poor Event; Only 3 points; Only C2
1996/03/18,02:45:52,94.0,22,,,,,,92,Very Poor Event; Only C2; Unable to measure
1996/03/18,08:33:09,276.0,25,158.0,137.0,177.0,212.0,1.2,280,Very Poor Event
1996/03/18,16:26:43,257.0,32,,,,,,263,Very Poor Event; Only C2; Unable to measure
1996/03/22,00:48:44,282.0,17,142.0,107.0,177.0,228.0,2.0,284,Very Poor Event; Only C3
1996/04/02,02:36:21,267.0,37,192.0,116.0,263.0,246.0,2.7,263,Poor Event; Only C3
1996/04/03,14:30:40,257.0,36,,,,,,255,Very Poor Event; Only C2; Unable to measure
1996/04/05,06:11:28,273.0,47,323.0,373.0,272.0,367.0,-6.7,271,Only 3 points; Only C3
1996/04/06,00:51:12,268.0,37,293.0,165.0,419.0,350.0,8.7,270,Only C3
1996/04/07,06:59:24,258.0,42,324.0,170.0,481.0,488.0,9.2,269,
1996/04/08,01:03:21,266.0,29,314.0,351.0,279.0,330.0,-3.4,269,Poor Event; Only 3 points; Only C3
1996/04/08,04:12:26,258.0,15,124.0,157.0,94.0,0.0,-1.3,262,
1996/04/08,07:53:42,105.0,22,128.0,90.0,161.0,227.0,2.0,99,Poor Event
1996/04/11,11:17:09,88.0,49,272.0,267.0,278.0,303.0,0.9,89,Poor Event
1996/04/12,04:45:24,275.0,57,100.0,84.0,117.0,154.0,0.8,272,Very Poor Event
1996/04/13,00:52:12,265.0,39,157.0,143.0,171.0,190.0,1.0,266,Poor Event; Only C3
1996/04/13,04:02:02,262.0,46,114.0,114.0,115.0,116.0,0.0,253,
