 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200701.01 | 2007/01/13 12:01 | 069 | 106 | 016 | 122 | 0151 | 0024 | 0137 | 0227
 C200701.02 | 2007/01/24 12:01 | 072 | 040 | 052 | 092 | 0590 | 0020 | 0590 | 0621
 C200702.01 | 2007/02/02 04:01 | 103 | 010 | 098 | 108 | 0319 | 0006 | 0310 | 0327
 C200702.02 | 2007/02/10 00:01 | 090 | 052 | 064 | 116 | 0337 | 0033 | 0268 | 0421
 C200702.03 | 2007/02/11 12:01 | 070 | 012 | 064 | 076 | 0203 | 0002 | 0200 | 0207
 C200702.04 | 2007/02/13 04:01 | 099 | 026 | 086 | 112 | 0302 | 0029 | 0251 | 0337
 C200702.05 | 2007/02/16 00:01 | 078 | 016 | 070 | 086 | 0454 | 0618 | 0268 | 1686
 C200702.06 | 2007/02/17 18:01 | 086 | 036 | 068 | 104 | 0472 | 0111 | 0310 | 0655
 C200702.07 | 2007/02/19 20:01 | 076 | 016 | 068 | 084 | 0393 | 0066 | 0295 | 0472
 C200702.08 | 2007/02/22 04:01 | 114 | 020 | 104 | 124 | 0281 | 0005 | 0281 | 0295
 C200702.09 | 2007/02/27 02:01 | 092 | 012 | 086 | 098 | 0347 | 0088 | 0310 | 0562
 C200702.10 | 2007/02/28 02:01 | 050 | 044 | 028 | 072 | 1180 | 0148 | 0983 | 1475
 C200703.01 | 2007/03/29 17:30 | 077 | 026 | 064 | 090 | 0249 | 0035 | 0183 | 0324
 C200704.01 | 2007/04/04 10:10 | 071 | 010 | 066 | 076 | 0196 | 0094 | 0157 | 0397
 C200704.02 | 2007/04/09 06:10 | 098 | 012 | 092 | 104 | 0330 | 0045 | 0256 | 0343
 C200704.03 | 2007/04/16 17:30 | 073 | 010 | 068 | 078 | 0277 | 0009 | 0262 | 0292
 C200704.04 | 2007/04/19 11:30 | 090 | 072 | 054 | 126 | 0376 | 0053 | 0313 | 0513
 C200704.05 | 2007/04/22 22:50 | 104 | 012 | 098 | 110 | 0347 | 0005 | 0340 | 0354
 C200704.06 | 2007/04/23 00:10 | 073 | 010 | 068 | 078 | 0236 | 0000 | 0236 | 0237
 C200704.07 | 2007/04/24 09:30 | 082 | 012 | 076 | 088 | 0334 | 0042 | 0264 | 0407
 C200705.01 | 2007/05/01 21:30 | 083 | 042 | 062 | 104 | 0280 | 0033 | 0234 | 0361
 C200705.02 | 2007/05/05 11:30 | 091 | 018 | 082 | 100 | 0302 | 0010 | 0287 | 0319
 C200705.03 | 2007/05/06 06:50 | 086 | 048 | 062 | 110 | 0416 | 0049 | 0337 | 0498
 C200705.04 | 2007/05/07 00:10 | 098 | 016 | 090 | 106 | 0327 | 0022 | 0287 | 0343
 C200705.05 | 2007/05/08 10:10 | 090 | 016 | 082 | 098 | 0437 | 0019 | 0426 | 0472
 C200705.06 | 2007/05/09 11:30 | 087 | 058 | 058 | 116 | 0268 | 0017 | 0240 | 0305
 C200705.07 | 2007/05/16 00:10 | 084 | 084 | 042 | 126 | 0472 | 0089 | 0285 | 0708
 C200705.08 | 2007/05/18 03:30 | 105 | 062 | 074 | 136 | 0352 | 0111 | 0285 | 0600
 C200705.09 | 2007/05/18 10:10 | 117 | 022 | 106 | 128 | 0442 | 0038 | 0361 | 0478
 C200705.10 | 2007/05/20 00:10 | 119 | 018 | 110 | 128 | 0350 | 0013 | 0330 | 0376
 C200705.11 | 2007/05/20 14:50 | 082 | 012 | 076 | 088 | 0287 | 0046 | 0209 | 0297
 C200705.12 | 2007/05/21 21:30 | 092 | 052 | 066 | 118 | 0292 | 0034 | 0221 | 0376
 C200705.13 | 2007/05/23 22:10 | 075 | 034 | 058 | 092 | 0271 | 0028 | 0225 | 0322
 C200705.14 | 2007/05/30 03:29 | 095 | 058 | 066 | 124 | 0361 | 0042 | 0260 | 0437
 C200706.01 | 2007/06/01 01:29 | 102 | 012 | 096 | 108 | 0391 | 0010 | 0372 | 0407
 C200706.02 | 2007/06/02 03:29 | 102 | 016 | 094 | 110 | 0580 | 0033 | 0544 | 0643
 C200706.03 | 2007/06/03 03:29 | 096 | 040 | 076 | 116 | 0600 | 0149 | 0384 | 0843
 C200706.04 | 2007/06/03 15:29 | 083 | 014 | 076 | 090 | 0384 | 0036 | 0357 | 0459
 C200706.05 | 2007/06/10 11:29 | 116 | 028 | 102 | 130 | 0282 | 0034 | 0240 | 0365
