 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200701.01 | 2007/01/20 18:01 | 268 | 092 | 314 | 222 | 1073 | 0071 | 0908 | 1073
 C200702.01 | 2007/02/23 00:01 | 258 | 064 | 290 | 226 | 1180 | 0184 | 0787 | 1475
 C200702.02 | 2007/02/26 04:01 | 267 | 070 | 302 | 232 | 1475 | 0191 | 1180 | 1686
 C200703.01 | 2007/03/08 10:01 | 279 | 018 | 288 | 270 | 0430 | 0193 | 0203 | 0787
 C200703.02 | 2007/03/10 12:01 | 282 | 020 | 292 | 272 | 0737 | 0128 | 0421 | 0787
 C200703.03 | 2007/03/12 00:01 | 279 | 022 | 290 | 268 | 0562 | 0055 | 0513 | 0655
 C200703.04 | 2007/03/28 01:30 | 279 | 030 | 294 | 264 | 1264 | 0428 | 0983 | 1967
 C200703.05 | 2007/03/29 08:10 | 286 | 028 | 300 | 272 | 1311 | 0489 | 0416 | 1967
 C200703.06 | 2007/03/30 18:50 | 284 | 056 | 312 | 256 | 1961 | 0097 | 1770 | 1967
 C200704.01 | 2007/04/01 21:30 | 284 | 076 | 322 | 246 | 1475 | 0598 | 0274 | 1967
 C200704.02 | 2007/04/10 10:10 | 263 | 038 | 282 | 244 | 1648 | 0653 | 0324 | 1967
 C200704.03 | 2007/04/12 18:10 | 269 | 042 | 290 | 248 | 1864 | 0207 | 1475 | 1967
 C200704.04 | 2007/04/13 10:50 | 272 | 028 | 286 | 258 | 1775 | 0385 | 0843 | 1967
 C200704.05 | 2007/04/19 08:50 | 266 | 036 | 284 | 248 | 0769 | 0039 | 0708 | 0843
 C200704.06 | 2007/04/21 13:30 | 263 | 030 | 278 | 248 | 1341 | 0323 | 0681 | 1539
 C200704.07 | 2007/04/28 13:30 | 266 | 048 | 290 | 242 | 1475 | 0175 | 1362 | 1863
 C200704.08 | 2007/04/29 15:30 | 269 | 010 | 274 | 264 | 1916 | 0275 | 1416 | 1967
 C200705.01 | 2007/05/02 06:10 | 280 | 036 | 298 | 262 | 1864 | 0085 | 1770 | 1967
 C200705.02 | 2007/05/04 02:50 | 294 | 064 | 326 | 262 | 1686 | 0120 | 1311 | 1864
 C200705.03 | 2007/05/04 16:10 | 254 | 024 | 266 | 242 | 1967 | 0168 | 1609 | 1967
 C200705.04 | 2007/05/05 06:10 | 268 | 020 | 278 | 258 | 1864 | 0209 | 1362 | 1967
 C200705.05 | 2007/05/08 16:10 | 263 | 054 | 290 | 236 | 1967 | 0086 | 1770 | 1967
 C200705.06 | 2007/05/09 01:30 | 253 | 030 | 268 | 238 | 1916 | 0176 | 1539 | 1967
 C200705.07 | 2007/05/10 14:50 | 267 | 050 | 292 | 242 | 1817 | 0152 | 1539 | 1967
 C200705.08 | 2007/05/11 15:30 | 285 | 018 | 294 | 276 | 1243 | 0047 | 1180 | 1311
 C200705.09 | 2007/05/12 02:50 | 279 | 026 | 292 | 266 | 0898 | 0286 | 0694 | 1416
 C200705.10 | 2007/05/12 14:10 | 267 | 034 | 284 | 250 | 1416 | 0077 | 1362 | 1609
 C200705.11 | 2007/05/14 02:50 | 284 | 088 | 328 | 240 | 1864 | 0157 | 1475 | 1967
 C200705.12 | 2007/05/18 11:30 | 263 | 038 | 282 | 244 | 1869 | 0199 | 1475 | 1967
 C200705.13 | 2007/05/21 14:10 | 298 | 016 | 306 | 290 | 0398 | 1029 | 0372 | 1967
 C200705.14 | 2007/05/22 08:50 | 278 | 080 | 318 | 238 | 1770 | 0827 | 0287 | 1967
 C200705.15 | 2007/05/23 11:30 | 292 | 024 | 304 | 280 | 0411 | 0082 | 0256 | 0600
 C200705.16 | 2007/05/25 04:49 | 262 | 032 | 278 | 246 | 1609 | 0149 | 1416 | 1967
 C200705.17 | 2007/05/28 11:29 | 272 | 036 | 290 | 254 | 1864 | 0893 | 0191 | 1967
 C200705.18 | 2007/05/28 20:49 | 258 | 040 | 278 | 238 | 1915 | 0181 | 1539 | 1967
 C200706.01 | 2007/06/02 13:29 | 283 | 030 | 298 | 268 | 0411 | 0036 | 0327 | 0454
 C200706.02 | 2007/06/05 11:29 | 282 | 100 | 332 | 232 | 1609 | 0900 | 0192 | 1967
 C200706.03 | 2007/06/08 00:09 | 272 | 052 | 298 | 246 | 1011 | 0785 | 0313 | 1967
 C200706.04 | 2007/06/08 16:49 | 261 | 018 | 270 | 252 | 1120 | 0410 | 0365 | 1475
 C200706.05 | 2007/06/09 00:09 | 260 | 020 | 270 | 250 | 1609 | 0254 | 1221 | 1967
 C200706.06 | 2007/06/10 00:09 | 278 | 028 | 292 | 264 | 1362 | 0465 | 0283 | 1686
 C200706.07 | 2007/06/10 17:29 | 269 | 022 | 280 | 258 | 1967 | 0112 | 1770 | 1967
 C200706.08 | 2007/06/16 04:09 | 286 | 056 | 314 | 258 | 1864 | 0155 | 1475 | 1967
 C200706.09 | 2007/06/19 14:49 | 295 | 062 | 326 | 264 | 1864 | 0146 | 1475 | 1967
 C200706.10 | 2007/06/20 03:29 | 264 | 012 | 270 | 258 | 1775 | 0282 | 1264 | 1967
 C200706.11 | 2007/06/20 10:49 | 273 | 014 | 280 | 266 | 0315 | 0898 | 0310 | 1967
 C200706.12 | 2007/06/24 16:10 | 278 | 072 | 314 | 242 | 1864 | 0149 | 1539 | 1967
 C200706.13 | 2007/06/27 18:50 | 275 | 078 | 314 | 236 | 0941 | 0791 | 0285 | 1967
 C200706.14 | 2007/06/28 13:30 | 297 | 046 | 320 | 274 | 1864 | 0082 | 1686 | 1967
 C200706.15 | 2007/06/29 10:10 | 307 | 034 | 324 | 290 | 1817 | 0160 | 1539 | 1967
 C200706.16 | 2007/06/30 09:30 | 276 | 048 | 300 | 252 | 0327 | 0037 | 0274 | 0426
 C200707.01 | 2007/07/06 07:30 | 254 | 048 | 278 | 230 | 1864 | 0151 | 1539 | 1967
 C200707.02 | 2007/07/06 13:30 | 269 | 010 | 274 | 264 | 1686 | 0163 | 1475 | 1967
 C200707.03 | 2007/07/08 17:30 | 268 | 012 | 274 | 262 | 1916 | 0051 | 1864 | 1967
 C200707.04 | 2007/07/08 22:50 | 298 | 060 | 328 | 268 | 1864 | 0131 | 1539 | 1967
